"ID","Name","Chinese Name","Part","Lean","Approx. Price","Rec. Cooking Methods","Recommended Dishes","Texture & Notes","image reference","google_drive_image_id","googleDriveImageId","google_drive_image_url","googleDriveImageUrl"
"1","Arm Chuck Roast","牛臂肉塊 / 前腿心肉","Chuck","No","$6 – $9","Braising, Stewing, Slow Cooker","Pot roast, beef stew, tacos","Rich beefy flavor; firm texture that becomes tender and falls apart when slow-cooked.","beef_cut_r1_c1","1BTP5dndaJbf8jkMCFik5db5FtnlscqjT","1BTP5dndaJbf8jkMCFik5db5FtnlscqjT","https://drive.google.com/uc?export=view&id=1BTP5dndaJbf8jkMCFik5db5FtnlscqjT","https://drive.google.com/uc?export=view&id=1BTP5dndaJbf8jkMCFik5db5FtnlscqjT"
"2","Arm Chuck Steak","牛臂牛排 / 前腿心牛排","Chuck","No","$7 – $10","Braising, Marinate & Grill","Swiss steak, braised steak","Chewy if not tenderized; contains connective tissue that softens with moist heat.","beef_cut_r2_c1","1vPZx9CAtN7ZNW7KOzAdwA3t_c9iwiXl2","1vPZx9CAtN7ZNW7KOzAdwA3t_c9iwiXl2","https://drive.google.com/uc?export=view&id=1vPZx9CAtN7ZNW7KOzAdwA3t_c9iwiXl2","https://drive.google.com/uc?export=view&id=1vPZx9CAtN7ZNW7KOzAdwA3t_c9iwiXl2"
"3","Blade Chuck Roast","板腱肉塊","Chuck","No","$7 – $10","Braising, Slow Cooker","Sunday pot roast, pulled beef","Fatty and flavorful; excellent collagen breakdown makes it succulent.","beef_cut_r3_c1","1j-DOb18cry3ChJHcyL0ZOKuFYG-KfN7W","1j-DOb18cry3ChJHcyL0ZOKuFYG-KfN7W","https://drive.google.com/uc?export=view&id=1j-DOb18cry3ChJHcyL0ZOKuFYG-KfN7W","https://drive.google.com/uc?export=view&id=1j-DOb18cry3ChJHcyL0ZOKuFYG-KfN7W"
"4","Blade Chuck Steak","板腱牛排","Chuck","No","$7 – $10","Braising, Pan-Sear then Braise","Steak pizzaiola, cubed steaks","Similar to the roast but thinner; can be tough without moist heat.","beef_cut_r4_c1","1X74FvuOsMzgfez2VggriP8ShO9BQ-aYc","1X74FvuOsMzgfez2VggriP8ShO9BQ-aYc","https://drive.google.com/uc?export=view&id=1X74FvuOsMzgfez2VggriP8ShO9BQ-aYc","https://drive.google.com/uc?export=view&id=1X74FvuOsMzgfez2VggriP8ShO9BQ-aYc"
"5","7-Bone Chuck Roast","七骨烤肉 / 7骨牛排","Chuck","No","$7 – $9","Braising, Slow Cooker","Pot roast, shredded BBQ","Named for ""7"" shaped bone; very rich flavor, moist when braised.","beef_cut_r5_c1","1_WIw-i51qrDh8la2g-wuf8ovWvB7z53J","1_WIw-i51qrDh8la2g-wuf8ovWvB7z53J","https://drive.google.com/uc?export=view&id=1_WIw-i51qrDh8la2g-wuf8ovWvB7z53J","https://drive.google.com/uc?export=view&id=1_WIw-i51qrDh8la2g-wuf8ovWvB7z53J"
"6","Chuck Center Roast","肩胛中心肉","Chuck","No","$7 – $10","Oven Roasting, Braising, Smoking","Roast beef dinner, smoked beef","Balance of tender/tough muscles; juicy if not overcooked.","beef_cut_r6_c1","1aQxNklaEpNzltrBjoAWr5rZseP3UXkEF","1aQxNklaEpNzltrBjoAWr5rZseP3UXkEF","https://drive.google.com/uc?export=view&id=1aQxNklaEpNzltrBjoAWr5rZseP3UXkEF","https://drive.google.com/uc?export=view&id=1aQxNklaEpNzltrBjoAWr5rZseP3UXkEF"
"7","Denver Steak","丹佛牛排 / 翼板牛排","Chuck","No","$10 – $14","Grilling, Skillet, Broiling, Sous Vide","Steak frites, stir-fry, tacos","Surprisingly tender for chuck; well-marbled and rich flavor.","beef_cut_r7_c1","1IwaOIr-rwwRuBTjM13HipfdVp2yHhGCH","1IwaOIr-rwwRuBTjM13HipfdVp2yHhGCH","https://drive.google.com/uc?export=view&id=1IwaOIr-rwwRuBTjM13HipfdVp2yHhGCH","https://drive.google.com/uc?export=view&id=1IwaOIr-rwwRuBTjM13HipfdVp2yHhGCH"
"8","Chuck Eye Roast","肩胛肋眼肉","Chuck","No","$8 – $11","Oven Roasting, Braising, Slow Cooker","Poor Man's Ribeye roast","Continuation of Ribeye muscle; tender and flavorful but fatty.","beef_cut_r8_c1","1p70VrXkQf3xNZflLEueMtH4peILB3xFF","1p70VrXkQf3xNZflLEueMtH4peILB3xFF","https://drive.google.com/uc?export=view&id=1p70VrXkQf3xNZflLEueMtH4peILB3xFF","https://drive.google.com/uc?export=view&id=1p70VrXkQf3xNZflLEueMtH4peILB3xFF"
"9","Chuck Eye Steak","肩胛肋眼牛排","Chuck","No","$9 – $13","Grilling, Skillet, Broiling","Steak and eggs, weeknight steak","""The Poor Man's Ribeye""; excellent value, tender, and juicy.","beef_cut_r9_c1","1O2cM_bpOgSB2PHhMuae6qd_FPdlF2Cyp","1O2cM_bpOgSB2PHhMuae6qd_FPdlF2Cyp","https://drive.google.com/uc?export=view&id=1O2cM_bpOgSB2PHhMuae6qd_FPdlF2Cyp","https://drive.google.com/uc?export=view&id=1O2cM_bpOgSB2PHhMuae6qd_FPdlF2Cyp"
"10","Country-Style Ribs","鄉村風味牛肋排","Chuck","No","$6 – $9","Braising, Stewing, Slow Cooker","Boneless BBQ ribs","Meaty and fatty; fork-tender when cooked low and slow.","beef_cut_r10_c1","1fdYVI04CQYhODNZ5VvZRCVOWP1XJeYBc","1fdYVI04CQYhODNZ5VvZRCVOWP1XJeYBc","https://drive.google.com/uc?export=view&id=1fdYVI04CQYhODNZ5VvZRCVOWP1XJeYBc","https://drive.google.com/uc?export=view&id=1fdYVI04CQYhODNZ5VvZRCVOWP1XJeYBc"
